ablation_contrast,condition_a,condition_b,metric,mean_a_minus_b,sample_std_a_minus_b,minimum_a_minus_b,maximum_a_minus_b,condition_a_fold_wins,condition_b_fold_wins,ties,higher_is_better,inferential_test_performed
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.0606203753520991,0.0935629593527642,-0.1616985775936926,0.06971114561202807,1,4,0,True,False
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,accuracy,-1.1102230246251566e-17,0.06280742930213276,-0.05128205128205132,0.10256410256410253,1,2,2,True,False
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,weighted_f1,0.0010945887665751552,0.04985239074180709,-0.048043184885290136,0.07639611850138162,3,2,0,True,False
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,mean_absolute_error,0.03589743589743592,0.10664940688761756,-0.1282051282051282,0.15384615384615385,1,3,1,False,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.045111339290701366,0.08869272660698978,-0.0689992025721376,0.15420456239749522,3,2,0,True,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,-0.041025641025641026,0.061751767070729706,-0.1282051282051282,0.025641025641025605,1,3,1,True,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,weighted_f1,-0.030214866578795473,0.0554159608905465,-0.12033956381782468,0.027783664403300323,1,4,0,True,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,mean_absolute_error,-0.004871794871794876,0.11222306845750162,-0.10256410256410264,0.1282051282051282,3,2,0,False,False
A_minus_B,A_RIDGE,B_RIDGE,quadratic_weighted_kappa,0.03670190158129185,0.0740432838298316,-0.053382663847780065,0.11747127362002699,3,2,0,True,False
A_minus_B,A_RIDGE,B_RIDGE,accuracy,0.040897435897435885,0.056221274351243966,-0.02564102564102566,0.1282051282051282,4,1,0,True,False
A_minus_B,A_RIDGE,B_RIDGE,weighted_f1,0.025651883332449922,0.04271246192388907,-0.03671942092994729,0.0831654847000115,4,1,0,True,False
A_minus_B,A_RIDGE,B_RIDGE,mean_absolute_error,-0.08166666666666667,0.11383178761285191,-0.2564102564102565,0.05128205128205143,4,1,0,False,False
B_minus_C,B_RIDGE,C_RIDGE,quadratic_weighted_kappa,-0.06105300819705266,0.08863230413263705,-0.1918922811059908,0.014313593482355197,2,3,0,True,False
B_minus_C,B_RIDGE,C_RIDGE,accuracy,-0.061153846153846135,0.04274155933220716,-0.1282051282051282,-0.025641025641025605,0,5,0,True,False
B_minus_C,B_RIDGE,C_RIDGE,weighted_f1,-0.04877832877880901,0.02181117773042157,-0.07683512544802867,-0.02903733693207372,0,5,0,True,False
B_minus_C,B_RIDGE,C_RIDGE,mean_absolute_error,0.11192307692307693,0.0728792874042027,0.05128205128205132,0.20512820512820518,0,5,0,False,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.011345039849197911,0.0974314617953512,-0.1480431083380602,0.0819162116275868,3,2,0,True,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,accuracy,0.010256410256410265,0.053170362444430026,-0.07692307692307687,0.051282051282051266,3,1,1,True,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,weighted_f1,-0.01670426926000009,0.03845026966549745,-0.06258257871161099,0.02453681584116363,2,3,0,True,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,mean_absolute_error,0.025128205128205062,0.090116441585595,-0.07692307692307687,0.12820512820512808,2,3,0,False,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,0.004806700602007397,0.10983831256228047,-0.12955577967560158,0.1655138939449098,2,2,1,True,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,-0.00012820512820513886,0.025481877898796596,-0.025641025641025716,0.02564102564102566,2,2,1,True,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,weighted_f1,0.00612515320547472,0.02626223097363928,-0.019197896120973,0.03828864698429918,2,2,1,True,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,mean_absolute_error,-0.004615384615384577,0.07257814487668414,-0.09999999999999987,0.07692307692307687,2,2,1,False,False
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,quadratic_weighted_kappa,0.060574003126078524,0.08755975770032032,0.0,0.19110723212748398,2,0,3,True,False
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,accuracy,0.030769230769230764,0.06880209161537813,0.0,0.15384615384615383,1,0,4,True,False
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,weighted_f1,0.0055522839733366134,0.05767474205591673,-0.0669719169719169,0.09473333683859997,1,1,3,True,False
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,mean_absolute_error,-0.11282051282051282,0.22470669025852974,-0.5128205128205129,0.0,2,0,3,False,False
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,quadratic_weighted_kappa,0.04348404012216393,0.05378608267359003,-0.010288371172775493,0.12513994200741177,3,1,1,True,False
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,accuracy,-0.04102564102564103,0.09351067963492551,-0.12820512820512828,0.10256410256410259,1,3,1,True,False
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,weighted_f1,-0.051110678944687,0.10962663066299828,-0.2001453337485726,0.05300788954635116,2,2,1,True,False
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,mean_absolute_error,-0.0512820512820513,0.23984983248550917,-0.28205128205128216,0.3333333333333335,3,1,1,False,False
