ablation_contrast,condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,higher_is_better
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.18459106279652582,0.18485880630063714,-0.06467132524968137,0.42231582852415345,0.95,10000,True
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,accuracy,0.03999999999999998,0.039304,-0.06,0.13999999999999999,0.95,10000,True
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,weighted_f1,0.0590344788811582,0.057799095309990764,-0.031326723697196864,0.15016961482540223,0.95,10000,True
A_minus_B,A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,mean_absolute_error,-0.10000000000000009,-0.10000200000000001,-0.29999999999999993,0.09999999999999998,0.95,10000,False
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.10887749977818362,-0.10862728192393616,-0.35640943928347646,0.14898986283771287,0.95,10000,True
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,-0.07999999999999996,-0.07943,-0.2,0.040000000000000036,0.95,10000,True
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,weighted_f1,-0.0735477582846003,-0.07321119914142253,-0.19485149752030823,0.04401666613543369,0.95,10000,True
B_minus_C,B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,mean_absolute_error,0.12,0.11857000000000001,-0.12,0.33999999999999997,0.95,10000,False
A_minus_B,A_RIDGE,B_RIDGE,quadratic_weighted_kappa,0.09290455266596287,0.09158773591582306,-0.24457502428323047,0.4199147412730598,0.95,10000,True
A_minus_B,A_RIDGE,B_RIDGE,accuracy,0.15999999999999998,0.15905,0.020000000000000018,0.30000000000000004,0.95,10000,True
A_minus_B,A_RIDGE,B_RIDGE,weighted_f1,0.13158182351694142,0.13214667689432022,-0.006221972225757522,0.2724481550984047,0.95,10000,True
A_minus_B,A_RIDGE,B_RIDGE,mean_absolute_error,-0.26,-0.25816999999999996,-0.5399999999999999,0.020000000000000018,0.95,10000,False
B_minus_C,B_RIDGE,C_RIDGE,quadratic_weighted_kappa,-0.09871520871386241,-0.09779470391904314,-0.3798776877050016,0.17993579846211585,0.95,10000,True
B_minus_C,B_RIDGE,C_RIDGE,accuracy,-0.12,-0.11948400000000002,-0.25999999999999995,0.019999999999999962,0.95,10000,True
B_minus_C,B_RIDGE,C_RIDGE,weighted_f1,-0.09426982021809605,-0.09487430419766471,-0.2301111824411825,0.037506290795693044,0.95,10000,True
B_minus_C,B_RIDGE,C_RIDGE,mean_absolute_error,0.22000000000000008,0.217752,-0.039999999999999925,0.48,0.95,10000,False
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.12098305501184603,-0.12210637893755324,-0.3596783402908094,0.13053956331214717,0.95,10000,True
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,accuracy,0.06,0.05974200000000001,-0.020000000000000018,0.14,0.95,10000,True
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,weighted_f1,0.02555550165736925,0.025558657951278367,-0.05366327200852368,0.10487891952148036,0.95,10000,True
A_minus_B,A_COMPLEMENT_NB,B_COMPLEMENT_NB,mean_absolute_error,0.040000000000000036,0.04165,-0.12,0.19999999999999996,0.95,10000,False
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,0.010027138384927525,0.009123946539130706,-0.04301930457094861,0.06216662235589288,0.95,10000,True
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,accuracy,-0.020000000000000018,-0.019716,-0.08000000000000002,0.040000000000000036,0.95,10000,True
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,weighted_f1,-0.012857142857142845,-0.012880423735679495,-0.06263717246095765,0.03466014489470518,0.95,10000,True
B_minus_C,B_COMPLEMENT_NB,C_COMPLEMENT_NB,mean_absolute_error,0.019999999999999907,0.019716,-0.040000000000000036,0.08000000000000007,0.95,10000,False
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,quadratic_weighted_kappa,-0.053853629842947504,-0.0529913949128643,-0.1682302872809656,0.0,0.95,10000,True
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,accuracy,-0.020000000000000018,-0.019946,-0.06,0.0,0.95,10000,True
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,weighted_f1,-0.00930724484399792,-0.009416692094821466,-0.030180426462547844,0.0,0.95,10000,True
A_minus_B,A_DECISION_TREE,B_DECISION_TREE,mean_absolute_error,0.06000000000000005,0.05983799999999999,0.0,0.18000000000000016,0.95,10000,False
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,quadratic_weighted_kappa,-0.19419658381805305,-0.19058341064715884,-0.3763969616241398,-0.012990542201540054,0.95,10000,True
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,accuracy,0.22,0.22020399999999998,0.12000000000000002,0.30000000000000004,0.95,10000,True
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,weighted_f1,0.16636062861869316,0.1665303536953471,0.06782536518473323,0.2564312965769862,0.95,10000,True
B_minus_C,B_DECISION_TREE,C_DECISION_TREE,mean_absolute_error,0.11999999999999988,0.119426,-0.039999999999999813,0.29999999999999993,0.95,10000,False
