class_label,feature,models_in_top_k,mean_reciprocal_rank,mean_absolute_weight,positive_model_count,negative_model_count,contributing_conditions
1,function,3,0.15185185185185185,2.942620180046452,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
1,harder,3,0.10064102564102566,3.0185415308462833,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
1,best,3,0.08118022328548645,2.959597438991294,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
1,common,2,1.0,1.6344199993737438,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,don,2,0.41666666666666663,1.491784394826777,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,problems,2,0.35,1.3929930835906346,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,impulsivity,2,0.2222222222222222,1.3156718131916532,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,brain,2,0.19642857142857142,1.312302155030508,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,school,2,0.19642857142857142,1.3209996045944163,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,autism,2,0.14545454545454545,1.2377034813913173,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,adhd,2,0.1388888888888889,1.279085995312812,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,diet,2,0.125,1.2707320357191154,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,tasks,2,0.09821428571428571,1.186213603525291,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,depression,2,0.08391608391608392,1.1733515579523797,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
1,answer,2,0.059027777777777776,1.0828962821232686,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,adhd medication,2,0.058333333333333334,1.1256786170057047,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
1,quickly,1,1.0,6.729978975462267,1,0,C_COMPLEMENT_NB
1,management,1,0.5,6.705904674214859,1,0,C_COMPLEMENT_NB
1,manage,1,0.25,6.672302772096693,1,0,C_COMPLEMENT_NB
1,understanding,1,0.2,6.657599194839283,1,0,C_COMPLEMENT_NB
1,answer sep,1,0.16666666666666666,6.6438881924482365,1,0,C_COMPLEMENT_NB
1,experts answer,1,0.14285714285714285,6.637563566306565,1,0,C_COMPLEMENT_NB
1,sign,1,0.125,6.625014169767781,1,0,C_COMPLEMENT_NB
1,behaviors,1,0.1111111111111111,6.609324068699778,1,0,C_COMPLEMENT_NB
1,diagnosis,1,0.1,0.6117318414620622,1,0,C_RIDGE
1,struggling,1,0.08333333333333333,6.560311465998264,1,0,C_COMPLEMENT_NB
1,thing,1,0.08333333333333333,1.7611185684103174,0,1,C_LOGISTIC_REGRESSION
1,condition,1,0.07692307692307693,6.547064566131206,1,0,C_COMPLEMENT_NB
1,child,1,0.07142857142857142,0.571123677042988,0,1,C_RIDGE
